UID,Friends,Followee,Like Records,Groups
28,"[0, 3, 5, 6, 7, 8, 12, 15, 19, 21, 23, 25, 45, 22, 24, 2, 54, 89, 76, 53, 74, 20, 39, 60, 69, 93, 37, 46, 27, 66, 94, 48, 32, 0, 3, 51, 78, 73, 38, 36, 18, 1, 11, 84, 15, 8, 49, 80, 67, 58, 79, 29, 30, 95, 14, 99, 90, 31, 7, 5, 40, 23, 35, 83, 70, 41, 57, 75, 44, 91, 92, 87, 9, 81, 31, 32, 33, 35, 36, 38, 39, 40, 43, 46, 47, 48, 51, 52, 53, 54, 55, 56, 57, 59, 60, 62, 66, 71, 72, 73, 74, 75, 76, 78, 80, 82, 88, 93, 95, 97, 99]","[97, 36, 19, 67, 30, 56, 98, 91, 43, 26, 64, 50, 83, 37, 35, 80, 88, 84, 44, 57, 21, 40, 79, 71, 16, 74, 96, 54, 66, 85, 2, 51, 45, 46, 32, 6, 53, 93, 48, 34, 52, 7, 13, 82, 11, 8, 22, 63, 59, 65, 33, 73, 49]","['(3,99)', '(84,80)', '(86,99)', '(41,75)', '(29,81)', '(34,21)', '(26,79)', '(39,13)']","[1, 1, 1, 0, 1]"
29,"[1, 3, 8, 14, 15, 19, 21, 23, 27, 28, 42, 57, 17, 39, 33, 5, 26, 7, 83, 8, 50, 31, 92, 36, 58, 23, 22, 53, 97, 29, 29, 46, 4, 44, 88, 56, 2, 45, 59, 41, 84, 64, 52, 35, 78, 24, 1, 51, 70, 19, 9, 20, 30, 6, 82, 73, 15, 68, 40, 99, 3, 96, 27, 37, 54, 72, 10, 63, 85, 0, 98, 21, 34, 65, 86, 91, 90, 66, 31, 32, 33, 35, 36, 39, 40, 43, 45, 47, 51, 52, 57, 58, 59, 60, 62, 64, 67, 68, 69, 71, 72, 74, 80, 82, 87, 91, 93, 94, 95, 97, 98, 99]","[92, 70, 49, 37, 28, 77, 67, 15, 72, 35, 53, 29, 7, 86, 96, 2, 59, 27, 22, 32, 84, 41, 23, 14, 79, 9, 76, 78, 43, 26, 52, 91, 98, 13, 89, 44, 61, 36, 83, 64, 11, 47, 10, 63, 50, 94, 4, 60]","['(66,65)', '(46,74)', '(48,86)', '(54,92)', '(80,90)', '(19,75)', '(88,54)', '(57,28)', '(3,47)', '(50,59)', '(12,33)', '(25,3)', '(38,77)', '(60,74)', '(90,49)', '(36,66)', '(6,41)', '(76,7)', '(12,19)', '(52,60)', '(62,38)', '(44,24)', '(77,0)', '(25,4)', '(54,1)', '(76,29)', '(63,83)', '(72,98)', '(2,6)', '(40,47)', '(96,60)', '(37,5)', '(20,94)', '(82,92)']","[1, 0, 1, 1, 0]"
30,"[0, 1, 3, 5, 6, 8, 10, 15, 19, 22, 23, 25, 26, 27, 28, 29, 84, 51, 93, 9, 59, 71, 38, 55, 56, 70, 12, 47, 0, 75, 31, 32, 36, 39, 40, 45, 47, 48, 51, 54, 55, 57, 59, 60, 66, 68, 72, 73, 76, 78, 81, 82, 83, 85, 91, 93, 95, 99]","[65, 14, 90, 16, 33, 77, 21, 62, 0, 41, 36, 55, 23, 96, 79, 98, 44, 7, 86, 49, 70, 50, 11, 30]","['(20,59)', '(41,51)', '(59,55)', '(94,57)', '(99,11)', '(39,93)', '(91,26)', '(73,91)', '(16,23)']","[1, 1, 0, 0, 1]"
31,"[3, 6, 8, 12, 14, 15, 19, 21, 23, 25, 26, 27, 28, 29, 70, 28, 40, 83, 77, 45, 48, 47, 79, 21, 50, 33, 16, 57, 68, 73, 27, 10, 4, 71, 32, 75, 53, 29, 95, 86, 56, 85, 55, 13, 64, 18, 58, 92, 94, 88, 78, 14, 37, 82, 34, 30, 76, 15, 91, 81, 35, 23, 7, 32, 33, 35, 36, 39, 45, 46, 47, 48, 51, 53, 54, 56, 57, 59, 60, 68, 69, 71, 75, 76, 77, 78, 80, 82, 87, 93, 95, 97, 99]","[70, 37, 39, 62, 56, 9, 66, 61, 53, 89, 11, 30, 76, 32, 41, 86, 4, 8, 85, 27, 21, 55, 51, 64, 26, 83, 82, 14]","['(13,86)', '(42,60)', '(6,42)', '(67,63)', '(98,20)', '(48,54)', '(90,83)', '(11,36)', '(77,34)', '(3,70)', '(25,100)', '(24,28)', '(47,13)', '(34,80)', '(54,61)']","[0, 1, 1, 1, 1]"
32,"[1, 3, 5, 6, 8, 9, 11, 12, 15, 19, 21, 26, 28, 31, 30, 49, 27, 16, 22, 85, 18, 90, 12, 29, 84, 96, 24, 82, 26, 53, 66, 98, 37, 81, 9, 40, 31, 76, 69, 72, 15, 5, 70, 54, 19, 7, 28, 93, 65, 74, 59, 52, 94, 67, 25, 2, 48, 1, 34, 6, 17, 62, 71, 8, 42, 11, 50, 14, 32, 32, 13, 43, 83, 68, 39, 87, 21, 79, 63, 64, 20, 10, 60, 3, 33, 34, 35, 36, 40, 47, 48, 51, 53, 55, 57, 58, 59, 60, 62, 68, 71, 74, 75, 76, 77, 79, 80, 82, 83, 86, 87, 93, 95, 97, 98, 99]","[61, 52, 69, 1, 18, 55, 70, 83, 20, 53, 89, 11, 58, 71, 21, 3, 96, 99, 32, 76, 46, 64, 74, 93, 84, 16, 62, 80, 7, 79, 45, 97, 67, 34, 85, 0]","['(11,93)', '(74,41)', '(74,44)', '(9,42)', '(4,81)', '(68,96)', '(5,100)', '(68,40)', '(0,12)', '(68,56)', '(63,38)', '(23,29)', '(67,45)', '(93,27)', '(67,32)', '(95,53)', '(0,17)', '(86,48)', '(52,34)', '(84,4)', '(67,46)', '(76,99)', '(18,55)', '(94,17)', '(98,39)', '(18,68)', '(65,9)', '(83,9)', '(73,58)', '(51,77)', '(8,96)', '(58,54)', '(69,6)', '(47,69)', '(24,76)', '(88,95)', '(90,12)', '(96,42)', '(67,65)', '(76,17)', '(33,72)']","[0, 0, 0, 1, 0]"
33,"[1, 2, 3, 5, 6, 7, 8, 10, 15, 19, 25, 26, 27, 29, 31, 6, 49, 14, 89, 34, 79, 93, 76, 51, 87, 84, 2, 38, 20, 28, 98, 32, 4, 3, 23, 99, 5, 57, 31, 39, 81, 92, 64, 17, 21, 95, 44, 43, 72, 29, 55, 1, 61, 90, 36, 39, 40, 43, 44, 46, 47, 49, 51, 54, 55, 57, 58, 60, 63, 68, 71, 74, 75, 76, 80, 81, 82, 83, 86, 95, 98, 99]","[32, 94, 30, 4, 57, 19, 77, 71, 99, 20, 61, 72, 51, 55, 1, 34, 49, 6, 59, 80, 92, 64, 5, 74, 29, 15, 31, 50, 96, 48, 90, 43, 58, 40, 60, 53, 38, 91, 79, 63, 54, 86, 13, 85, 65, 81, 70, 11, 14, 24, 9, 46, 25, 89, 82, 97, 22, 78, 12, 16, 10, 75, 73, 68, 8, 83, 0, 56, 88, 27, 21, 23, 87, 7, 42]","['(88,27)', '(5,98)', '(72,7)', '(57,49)', '(77,10)', '(84,87)', '(60,5)', '(95,87)', '(38,32)']","[1, 0, 0, 0, 1]"
34,"[3, 4, 5, 6, 8, 12, 23, 29, 31, 32, 33, 64, 22, 13, 50, 3, 86, 99, 46, 78, 18, 47, 56, 70, 32, 73, 77, 19, 83, 43, 85, 39, 34, 34, 12, 95, 27, 97, 35, 89, 90, 8, 42, 36, 39, 42, 46, 47, 51, 52, 54, 55, 58, 59, 60, 62, 64, 66, 67, 68, 71, 74, 75, 76, 78, 79, 80, 81, 82, 85, 87, 88, 91, 93, 95, 96, 97, 98, 99]","[10, 72, 99, 88, 66, 5, 69, 53, 7, 15, 2, 36, 25, 58, 51, 64, 70, 79, 52, 81, 50, 57, 82, 90, 98, 89, 49, 95, 39, 6, 20, 97, 9, 65, 47, 40, 43, 73, 84]","['(95,50)', '(62,28)', '(93,44)', '(23,19)', '(17,21)', '(15,15)']","[0, 1, 0, 0, 0]"
35,"[0, 3, 4, 5, 8, 9, 11, 15, 22, 23, 25, 27, 28, 29, 31, 34, 82, 39, 19, 53, 7, 28, 83, 25, 49, 13, 94, 45, 2, 66, 11, 80, 47, 20, 37, 54, 98, 0, 40, 74, 89, 95, 44, 42, 68, 43, 87, 12, 31, 64, 85, 32, 63, 3, 77, 88, 23, 10, 93, 57, 29, 71, 21, 36, 39, 42, 44, 46, 47, 48, 51, 54, 55, 57, 59, 64, 66, 67, 68, 71, 72, 73, 74, 77, 80, 82, 83, 85, 87, 89, 93, 94, 95, 98, 99]","[87, 95, 85, 91, 41, 13, 56, 67, 86, 36, 46, 22, 3, 60, 64, 47, 59, 66, 15, 97, 33, 53, 23, 58, 21, 69, 51, 70, 42, 12, 1, 84, 94, 43, 92, 35, 93, 9, 0, 16, 79, 88, 28, 14, 11, 61, 26, 57, 18, 31, 82, 38, 10, 90, 25, 30, 8, 73, 34, 4, 78, 80, 55, 71, 62, 76, 99, 40, 98, 63, 27, 81, 19, 68, 75, 52, 7, 17, 5, 74, 96]","['(31,59)', '(36,16)', '(100,49)', '(93,26)', '(43,19)', '(0,19)', '(56,62)', '(47,24)', '(48,40)', '(76,75)', '(6,47)', '(13,100)', '(3,73)', '(61,55)', '(81,25)', '(94,30)', '(84,95)', '(78,17)', '(77,69)', '(52,46)']","[0, 0, 0, 0, 0]"
36,"[1, 3, 5, 9, 10, 12, 16, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29, 72, 45, 28, 13, 23, 36, 36, 20, 68, 62, 99, 18, 15, 76, 25, 58, 57, 94, 1, 8, 29, 64, 47, 85, 56, 14, 6, 12, 39, 19, 27, 77, 46, 30, 54, 2, 96, 37, 9, 52, 75, 32, 61, 55, 51, 74, 35, 66, 3, 40, 95, 59, 5, 31, 16, 34, 69, 91, 82, 97, 71, 4, 48, 53, 42, 87, 7, 17, 90, 10, 80, 88, 33, 0, 65, 63, 49, 67, 24, 41, 70, 60, 89, 22, 44, 92, 79, 38, 21, 26, 83, 78, 93, 84, 73, 43, 86, 11, 50, 37, 39, 40, 43, 44, 46, 47, 51, 54, 55, 56, 57, 59, 60, 61, 62, 65, 68, 71, 74, 78, 80, 82, 85, 86, 87, 93, 95, 97, 98, 99]","[41, 39, 66, 15, 24, 98, 28, 2, 79, 58, 59, 10, 45, 4, 77, 27]","['(0,62)', '(48,46)', '(57,7)', '(92,5)', '(92,24)', '(87,99)', '(81,94)', '(96,8)', '(84,3)', '(13,46)', '(86,0)', '(69,95)', '(49,9)', '(46,45)', '(94,15)', '(6,66)', '(90,35)', '(33,63)', '(58,68)', '(81,51)', '(49,14)', '(96,3)', '(17,35)', '(80,33)', '(22,76)', '(5,45)', '(36,95)', '(71,90)', '(14,17)', '(89,2)', '(40,97)', '(72,93)', '(57,50)', '(0,22)', '(2,63)', '(25,79)', '(36,62)', '(15,51)', '(45,77)', '(69,15)', '(22,53)', '(9,32)', '(62,26)', '(35,65)', '(99,11)', '(36,22)', '(61,13)', '(49,37)', '(10,50)', '(22,84)', '(96,65)', '(49,62)', '(22,63)', '(81,92)', '(11,79)', '(19,92)', '(36,32)', '(28,95)', '(70,42)', '(66,87)', '(4,11)', '(47,35)', '(35,47)', '(59,19)', '(41,13)', '(32,92)', '(1,30)', '(24,92)', '(92,99)', '(1,22)', '(48,76)', '(72,100)', '(54,9)', '(18,42)', '(71,68)', '(88,6)', '(2,9)', '(86,68)', '(18,12)', '(55,82)', '(45,47)', '(27,86)', '(59,25)', '(18,72)', '(63,100)', '(43,17)', '(16,23)', '(21,88)', '(66,85)', '(3,52)', '(34,40)', '(33,98)']","[1, 1, 1, 0, 1]"
37,"[1, 3, 5, 6, 8, 9, 15, 19, 21, 22, 23, 27, 28, 29, 31, 32, 35, 36, 38, 77, 12, 97, 96, 3, 7, 42, 27, 98, 22, 84, 74, 60, 26, 58, 78, 92, 86, 91, 87, 95, 79, 68, 56, 73, 24, 21, 36, 39, 40, 43, 45, 46, 47, 51, 54, 56, 57, 58, 59, 60, 62, 63, 68, 69, 70, 71, 74, 78, 80, 82, 83, 85, 86, 87, 89, 97, 98]","[12, 77, 73, 53, 44, 20, 24, 1, 80, 35, 66, 43, 37, 87, 65, 45, 23, 91, 21, 98, 39, 72, 62, 71, 34, 94, 17, 67, 25, 75, 96, 40, 68, 90, 46, 79, 55, 93, 89, 18, 74, 28, 64, 47, 14, 57, 38, 54, 99, 78, 60, 10, 13, 48, 86, 36, 26, 2, 41, 92, 4, 5, 30, 11, 0, 83, 61, 22, 85, 81, 95, 70, 97, 84, 3, 59, 16, 31, 9, 7, 32, 56, 63]","['(67,79)', '(86,12)', '(4,96)', '(44,0)', '(36,95)', '(67,7)', '(36,3)', '(70,89)', '(87,11)', '(67,22)', '(19,52)', '(18,44)', '(5,39)', '(56,33)', '(86,4)', '(51,87)', '(97,11)', '(33,43)', '(25,96)', '(84,76)', '(6,70)', '(5,68)', '(94,40)', '(56,65)', '(55,96)', '(15,51)', '(54,19)', '(31,69)', '(96,98)', '(41,96)', '(46,73)', '(83,63)', '(96,2)', '(36,80)', '(73,53)', '(68,80)', '(55,64)', '(45,7)', '(74,56)', '(0,87)', '(78,18)', '(18,72)', '(40,33)', '(16,88)', '(96,11)', '(4,2)', '(86,80)', '(88,3)', '(6,65)', '(70,55)', '(93,96)', '(51,4)', '(5,89)', '(37,100)', '(90,30)', '(46,21)', '(1,72)', '(34,30)', '(16,93)', '(65,56)']","[0, 0, 0, 1, 1]"
38,"[1, 3, 4, 5, 7, 14, 15, 16, 19, 20, 22, 23, 25, 26, 27, 28, 30, 33, 36, 37, 28, 10, 39, 46, 47, 50, 51, 53, 55, 56, 57, 59, 60, 62, 63, 64, 65, 66, 68, 71, 72, 73, 74, 75, 80, 83, 87, 89, 91, 95, 97, 99]","[99, 33, 13, 19, 47, 53, 90, 85, 51, 75, 37, 57, 9, 87, 12, 21, 86, 63, 79, 1, 50, 18, 45, 78, 24, 4, 23, 93, 82, 58, 80, 7, 95, 65, 6, 27, 8, 67, 14, 48, 59, 81, 74, 20, 2, 40, 52, 84, 96, 46, 44, 15, 73, 71, 72]","['(36,89)', '(2,71)', '(73,16)', '(40,49)', '(12,34)', '(52,3)', '(92,59)', '(78,13)', '(37,9)', '(35,27)', '(97,27)', '(22,94)', '(48,33)', '(61,82)', '(27,30)', '(77,32)', '(32,90)', '(75,33)', '(38,19)', '(72,69)', '(49,57)', '(60,50)', '(43,73)', '(64,38)', '(68,45)', '(74,61)', '(40,63)', '(15,19)', '(17,99)', '(29,98)', '(43,32)', '(65,19)', '(15,7)', '(85,70)', '(56,1)', '(80,0)', '(85,36)', '(35,28)', '(18,88)']","[1, 1, 0, 0, 1]"
39,"[0, 1, 3, 5, 8, 15, 16, 19, 21, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 15, 46, 74, 84, 13, 8, 12, 41, 91, 33, 67, 7, 18, 14, 34, 9, 30, 81, 36, 53, 43, 86, 56, 44, 87, 50, 76, 96, 51, 93, 5, 88, 65, 69, 55, 4, 94, 47, 58, 48, 6, 26, 78, 37, 40, 59, 42, 21, 52, 66, 90, 35, 79, 1, 31, 39, 39, 25, 27, 89, 97, 45, 72, 77, 38, 17, 0, 3, 23, 19, 28, 22, 20, 16, 49, 62, 82, 24, 71, 99, 85, 83, 64, 2, 54, 68, 98, 29, 75, 95, 70, 80, 40, 41, 45, 46, 51, 55, 57, 58, 59, 60, 62, 65, 68, 71, 72, 74, 76, 77, 80, 82, 83, 88, 91, 93, 95, 97, 99]","[32, 22, 44, 93, 92, 75, 68, 83, 46, 48, 95, 67, 23, 98, 10, 24, 25, 85, 50, 34, 5, 40, 18, 33, 58, 55, 78, 14, 73, 96, 80, 59, 29, 30, 52, 16, 20, 87, 60, 94, 51, 17, 38, 47, 84, 89, 54, 13, 27, 56, 77, 79, 0, 53, 1, 66, 9, 45, 72, 71, 4, 43]","['(94,72)', '(46,72)', '(54,63)', '(45,75)', '(14,83)', '(8,13)', '(43,98)', '(67,10)', '(62,72)', '(80,60)', '(16,37)', '(74,89)', '(37,31)', '(64,26)', '(68,41)', '(12,3)', '(79,50)', '(14,52)', '(14,29)', '(6,67)', '(6,63)', '(56,11)', '(3,53)', '(65,35)', '(88,25)', '(50,96)', '(64,39)', '(83,81)', '(17,80)', '(85,93)', '(14,87)', '(83,57)', '(59,39)', '(81,65)', '(55,100)', '(8,83)', '(2,2)', '(69,2)', '(49,13)', '(35,90)', '(11,98)', '(78,97)', '(52,38)', '(47,9)', '(69,28)', '(20,97)', '(11,68)', '(93,22)', '(94,73)', '(32,95)']","[0, 0, 1, 1, 1]"
40,"[0, 1, 3, 5, 6, 7, 8, 11, 14, 23, 26, 27, 28, 29, 31, 32, 35, 36, 39, 12, 79, 21, 64, 10, 67, 99, 72, 89, 29, 28, 81, 25, 11, 71, 44, 19, 33, 68, 69, 90, 47, 0, 43, 95, 86, 53, 83, 18, 52, 75, 48, 57, 85, 80, 2, 84, 32, 76, 73, 16, 78, 63, 39, 6, 97, 41, 22, 56, 14, 62, 30, 15, 60, 94, 91, 36, 58, 70, 24, 3, 88, 27, 8, 37, 45, 46, 47, 48, 49, 51, 53, 54, 55, 57, 58, 59, 60, 62, 64, 65, 68, 71, 72, 73, 74, 77, 80, 82, 83, 84, 86, 87, 89, 91, 93, 95, 97, 99]",[21],"['(62,7)', '(56,30)', '(49,3)', '(29,30)', '(72,28)', '(41,31)', '(81,19)', '(60,44)']","[0, 1, 0, 0, 1]"
41,"[3, 5, 6, 8, 17, 21, 22, 23, 25, 27, 28, 29, 36, 39, 40, 63, 97, 39, 87, 98, 94, 99, 42, 43, 45, 46, 47, 49, 51, 57, 59, 60, 63, 64, 65, 66, 68, 71, 74, 75, 76, 77, 78, 80, 82, 83, 87, 91, 97, 98]","[41, 63, 84, 9, 53, 1, 85, 83, 0, 25, 95, 60, 43, 98, 58, 56]","['(75,85)', '(32,92)', '(29,27)', '(53,90)', '(63,44)', '(93,44)', '(32,77)', '(100,11)', '(81,44)', '(55,41)', '(10,67)', '(53,53)', '(83,16)', '(74,22)', '(77,7)', '(74,49)', '(20,65)', '(80,49)', '(90,55)', '(48,93)', '(0,23)', '(33,28)', '(47,42)', '(84,20)', '(45,18)', '(24,52)', '(19,39)', '(96,53)', '(80,76)', '(90,51)', '(88,6)', '(75,31)', '(59,12)', '(14,30)', '(88,70)', '(39,33)', '(81,25)', '(20,66)', '(7,62)', '(53,23)', '(1,76)', '(4,35)', '(8,98)', '(97,58)', '(68,14)', '(23,100)', '(14,66)', '(77,71)', '(63,41)', '(55,24)', '(19,48)', '(49,39)', '(17,65)', '(28,4)', '(77,44)', '(8,43)', '(15,67)', '(33,42)', '(2,86)', '(35,3)', '(87,36)', '(36,14)', '(40,19)', '(57,2)', '(17,30)', '(22,97)', '(34,36)', '(5,75)', '(63,98)', '(53,68)']","[1, 1, 1, 0, 0]"
42,"[0, 1, 3, 5, 6, 8, 11, 14, 19, 21, 26, 29, 32, 34, 35, 36, 37, 39, 34, 35, 21, 3, 73, 54, 52, 4, 41, 97, 89, 94, 27, 25, 99, 47, 51, 54, 57, 58, 59, 61, 62, 64, 66, 68, 69, 71, 74, 75, 78, 80, 82, 85, 86, 87, 89, 91, 93, 97, 98, 99]","[75, 82, 24, 80, 33, 98, 97, 13, 52, 23, 6, 93, 0, 34, 68, 8, 86, 66, 95, 64, 50, 78, 42, 58, 63, 62, 84, 70, 81, 85, 20, 60, 51, 30, 76, 56, 72, 22, 55, 43, 96, 46, 69, 79, 40, 59, 7, 65, 32, 31, 89, 38, 29, 49]","['(48,19)', '(36,26)', '(41,13)', '(74,67)', '(62,14)', '(81,72)', '(55,21)', '(36,96)', '(40,37)', '(78,74)', '(69,22)', '(25,90)', '(6,9)', '(65,26)', '(55,90)', '(38,85)', '(30,62)', '(66,90)', '(0,23)', '(48,94)', '(56,5)', '(29,97)', '(30,33)', '(7,76)', '(91,12)', '(43,31)', '(40,18)', '(55,44)', '(31,25)', '(45,69)', '(84,67)', '(35,37)', '(59,27)', '(74,65)', '(35,60)', '(62,91)', '(62,24)', '(6,55)', '(83,48)', '(7,53)', '(70,12)', '(57,70)', '(35,73)', '(81,4)', '(70,99)', '(0,49)', '(80,84)', '(33,75)', '(82,83)', '(16,63)', '(35,70)', '(64,95)']","[1, 1, 0, 0, 1]"
43,"[0, 3, 6, 7, 11, 13, 14, 15, 19, 21, 22, 25, 32, 33, 34, 35, 36, 39, 40, 57, 86, 70, 26, 33, 41, 14, 37, 15, 55, 46, 7, 76, 19, 78, 23, 74, 25, 36, 9, 68, 8, 0, 51, 73, 4, 52, 91, 85, 21, 84, 99, 80, 22, 97, 29, 69, 87, 27, 89, 28, 16, 59, 18, 45, 46, 47, 51, 54, 55, 56, 57, 58, 59, 60, 64, 68, 71, 72, 74, 75, 76, 80, 82, 83, 87, 88, 93, 95, 97]","[19, 84, 70, 94, 43, 76, 24, 4, 65, 56, 2, 35, 61, 0, 31, 15, 33, 67, 37, 83, 45, 51, 25, 38, 90, 80, 48, 57, 13, 9, 49, 21, 68, 46, 36, 53, 16, 69, 5, 63, 39, 11, 47, 62, 85, 3, 18, 52, 7, 92, 1, 26, 99, 28, 40, 55, 41, 98, 12, 66, 78, 77, 72, 50, 34, 17, 71, 64, 27, 42, 54, 59, 81, 6, 73, 8, 82, 22, 75, 95, 58, 97, 14]","['(99,24)', '(37,75)', '(85,84)', '(49,94)', '(1,11)', '(46,86)', '(83,84)', '(90,66)', '(63,56)', '(96,78)', '(88,65)', '(91,12)', '(59,40)', '(39,45)', '(74,35)', '(66,73)', '(8,76)', '(55,18)', '(1,47)', '(54,77)', '(17,29)', '(73,39)', '(94,16)', '(54,34)', '(68,40)', '(18,26)', '(50,35)', '(27,37)', '(81,67)', '(39,88)', '(49,46)', '(73,37)', '(45,94)', '(43,64)', '(69,58)', '(78,9)', '(1,56)', '(65,51)', '(19,76)', '(70,98)', '(30,18)', '(62,43)', '(93,24)', '(0,66)', '(26,73)', '(58,78)', '(81,44)', '(82,98)', '(1,95)', '(24,36)', '(60,57)', '(25,5)', '(9,76)', '(3,94)', '(45,62)', '(27,46)', '(43,13)', '(24,85)', '(53,55)', '(82,20)', '(76,73)', '(6,92)', '(32,14)', '(22,26)', '(21,39)', '(11,43)', '(60,67)', '(22,97)', '(89,39)', '(4,63)', '(46,6)', '(81,73)', '(34,77)', '(71,57)', '(29,35)', '(54,69)', '(68,98)', '(94,41)', '(70,73)', '(89,90)', '(40,51)', '(87,17)', '(99,78)', '(92,83)', '(24,34)', '(39,22)', '(86,43)', '(69,49)', '(4,36)', '(50,78)', '(61,95)', '(57,79)', '(28,80)', '(62,39)']","[1, 0, 0, 1, 0]"
44,"[1, 3, 6, 8, 9, 10, 15, 16, 20, 21, 23, 24, 26, 27, 28, 29, 33, 35, 36, 39, 40, 89, 92, 54, 33, 63, 19, 67, 75, 45, 36, 61, 35, 7, 68, 10, 55, 45, 46, 47, 48, 54, 55, 57, 59, 60, 61, 62, 65, 68, 69, 75, 79, 80, 82, 93, 95, 97, 98, 99]","[15, 55, 27, 30, 1, 67, 5]","['(75,81)', '(16,16)', '(30,89)', '(92,10)', '(44,83)', '(61,93)', '(21,82)', '(22,58)', '(18,94)', '(99,40)', '(33,96)', '(58,31)', '(42,12)', '(55,48)', '(8,92)', '(23,3)', '(35,41)', '(91,91)', '(19,3)', '(6,47)', '(39,40)', '(59,50)', '(6,20)', '(68,58)', '(72,33)', '(62,86)', '(60,38)', '(33,12)', '(65,55)', '(31,42)', '(16,55)', '(46,41)', '(56,41)', '(53,18)', '(78,70)', '(96,7)', '(45,46)', '(43,29)', '(35,48)', '(67,57)', '(11,98)', '(86,19)', '(42,87)', '(9,85)', '(40,99)', '(85,31)', '(0,49)', '(20,100)', '(16,60)', '(92,75)', '(69,87)', '(59,98)', '(4,28)', '(40,77)', '(43,41)', '(26,7)', '(66,60)']","[1, 1, 0, 1, 0]"
45,"[0, 1, 3, 4, 5, 6, 8, 14, 19, 21, 22, 23, 25, 26, 27, 28, 29, 31, 35, 36, 39, 44, 59, 24, 29, 49, 44, 98, 93, 11, 41, 22, 20, 30, 19, 7, 82, 71, 27, 80, 96, 26, 50, 73, 65, 86, 74, 92, 66, 8, 51, 63, 40, 76, 45, 45, 84, 79, 91, 47, 88, 31, 54, 17, 55, 37, 43, 0, 61, 67, 21, 14, 68, 13, 70, 99, 39, 47, 51, 55, 57, 59, 60, 64, 69, 71, 78, 80, 82, 83, 85, 87, 88, 93, 97, 98, 99]","[96, 84, 65, 78, 43, 8, 46, 36, 24, 94, 77, 45, 9, 89, 5, 29, 44, 1, 83, 34]","['(2,71)', '(51,52)', '(77,80)', '(81,37)', '(82,9)', '(7,13)']","[1, 0, 1, 0, 1]"
46,"[3, 5, 8, 9, 14, 15, 16, 19, 21, 23, 26, 27, 28, 29, 34, 36, 39, 43, 86, 28, 89, 61, 31, 39, 72, 60, 64, 5, 98, 80, 54, 37, 24, 78, 57, 75, 38, 79, 23, 4, 41, 18, 43, 74, 10, 20, 87, 94, 6, 65, 70, 11, 34, 50, 68, 53, 40, 69, 48, 99, 46, 46, 17, 26, 49, 92, 33, 36, 27, 3, 19, 67, 97, 16, 58, 62, 7, 85, 9, 35, 44, 2, 59, 91, 47, 48, 50, 51, 53, 54, 55, 57, 59, 60, 65, 68, 71, 72, 73, 75, 80, 82, 83, 86, 95, 97]","[68, 44, 40, 11, 99, 54, 53, 6, 62, 42, 61, 46, 60, 70, 88, 1, 14, 82, 30, 24, 50, 3, 8, 81, 67, 52, 23, 35, 92, 98, 90, 86, 71, 48, 83, 91, 39, 72, 45, 94, 21, 34, 13, 12, 0, 69, 77, 75, 85, 93, 4, 31, 5, 17, 51, 37, 47, 79, 33, 66, 43, 36, 29, 2, 80, 64, 25, 27, 16, 22, 49, 63, 89, 95, 38, 56, 87, 73, 97, 78, 20, 26, 59]","['(13,69)', '(79,43)', '(92,24)', '(1,58)', '(8,22)', '(87,92)', '(74,89)', '(81,57)', '(88,69)', '(18,5)', '(83,62)', '(8,61)', '(68,7)', '(34,14)', '(3,31)', '(55,9)', '(95,26)', '(88,19)', '(91,60)', '(46,0)', '(41,10)', '(21,54)', '(7,83)', '(23,70)', '(10,27)', '(64,59)', '(3,68)', '(81,67)', '(31,70)', '(69,38)', '(15,45)', '(67,34)', '(54,40)', '(7,40)', '(60,3)', '(17,81)', '(78,20)', '(94,99)', '(100,21)', '(49,87)', '(9,21)', '(44,87)', '(14,55)', '(37,39)', '(52,85)', '(63,62)', '(85,1)', '(56,63)', '(0,43)', '(68,55)', '(9,44)', '(8,90)', '(1,95)', '(61,60)', '(58,51)', '(31,56)', '(17,41)', '(94,55)', '(83,54)', '(26,4)', '(75,0)', '(91,50)', '(82,33)', '(28,65)', '(52,50)', '(47,96)', '(82,82)', '(59,75)', '(1,43)', '(99,7)', '(95,47)', '(39,29)', '(14,42)', '(47,34)', '(50,31)', '(74,88)', '(67,37)', '(0,5)', '(83,5)', '(77,43)', '(81,9)', '(66,45)', '(52,38)', '(90,22)', '(65,42)', '(73,60)', '(17,54)', '(42,89)']","[1, 0, 0, 1, 1]"
